caseNo,usVol,usPg,n_docs,action_code,term,caseId,caseName,nytSalience,cqSalience,voteMargin,n,unanimous,n_cases
396_168,396,168,14,620;203;120;120;120;300;100;100;100;100;300;300;311;400,1969,1969-016,ZUBER et al. v. ALLEN et al.,FALSE,FALSE,2,1,FALSE,1
396_212,396,212,10,300;622;120;300;160;300;100;100;100;300,1969,1969-017,"NACIREMA OPERATING CO., INC., et al. v. JOHNSON et al.",FALSE,FALSE,2,1,FALSE,1
396_226,396,226,18,910;326;420;104;910;813;104;811;814;814;110;110;110;202;400;104;920;101,1969,1969-018,CARTER et al. v. WEST FELICIANA PARISH SCHOOL BOARD et al.,FALSE,FALSE,8,1,FALSE,1
396_229,396,229,25,400;502;311;300;300;400;100;100;100;100;100;100;100;100;203;203;650;120;120;120;300;400;400;300;300,1969,1969-019,"SULLIVAN et al. v. LITTLE HUNTING PARK, INC., et al.",FALSE,FALSE,2,1,FALSE,1
396_258,396,258,24,900;400;311;650;300;120;120;814;120;120;120;650;900;601;420;211;300;400;300;300;300;100;100;100,1969,1969-020,"NATIONAL LABOR RELATIONS BOARD v. J. H. RUTTER-REX MANUFACTURING CO., INC., et al.",FALSE,FALSE,2,1,FALSE,1
396_269,396,269,8,300;300;300;300;101;300;300;300,1969,1969-021,DOWELL et al. v. BOARD OF EDUCATION OF OKLAHOMA CITY PUBLIC SCHOOLS et al.,FALSE,FALSE,8,1,FALSE,1
396_282,396,282,14,300;400;220;120;300;300;100;810;100;800;420;300;300;300,1969,1969-022,"WADE v. WILSON, WARDEN, et al.",FALSE,FALSE,6,1,FALSE,1
396_295,396,295,11,151;300;100;100;100;100;110;300;111;150;300,1969,1969-024,GUTKNECHT v. UNITED STATES,TRUE,FALSE,8,1,FALSE,1
396_320,396,320,17,300;110;110;814;301;121;320;203;205;121;121;121;300;100;100;300;300,1969,1969-025,CARTER et al. v. JURY COMMISSION OF GREENE COUNTY et al.,FALSE,FALSE,6,1,FALSE,1
396_346,396,346,12,300;300;300;300;300;400;300;300;100;100;300;300,1969,1969-026,TURNER et al. v. FOUCHE et al.,FALSE,FALSE,8,1,FALSE,1
396_365,396,365,6,300;300;104;300;300;300,1969,1969-028,MOLINARO v. NEW JERSEY,FALSE,FALSE,8,1,FALSE,1
396_367,396,367,21,151;300;420;441;300;300;400;101;101;800;601;101;110;300;601;320;300;400;300;300;300,1969,1969-027,"MARYLAND AND VIRGINIA ELDERSHIP OF THE CHURCHES OF GOD et al. v. CHURCH OF GOD AT SHARPSBURG, INC., et al.",FALSE,FALSE,8,1,FALSE,1
396_371,396,371,4,104;900;811;104,1969,1969-029,COWGILL v. CALIFORNIA,FALSE,FALSE,6,1,FALSE,1
396_375,396,375,9,300;130;300;100;100;300;300;300;300,1969,1969-030,MILLS et al. v. ELECTRIC AUTO-LITE CO. et al.,FALSE,FALSE,6,1,FALSE,1
396_398,396,398,17,300;203;400;203;120;120;622;311;300;400;300;300;100;100;100;100;110,1969,1969-031,TURNER v. UNITED STATES,FALSE,FALSE,4,1,FALSE,1
396_435,396,435,9,300;100;100;120;120;300;120;300;610,1969,1969-032,EVANS et al. v. ABNEY et al.,TRUE,FALSE,3,1,FALSE,1
396_460,396,460,17,310;100;100;100;100;660;300;300;300;660;110;110;110;112;112;300;300,1969,1969-033,BREEN v. SELECTIVE SERVICE LOCAL BOARD NO. 16 et al.,TRUE,FALSE,8,1,FALSE,1
396_471,396,471,20,300;622;120;120;120;900;300;300;900;300;300;400;300;810;900;100;100;810;900;100,1969,1969-034,"GOLDSTEIN, AKA PIETRARU, et al. v. COX et al.",FALSE,FALSE,4,1,FALSE,1
396_482,396,482,11,300;311;700;120;120;120;300;300;300;101;300,1969,1969-035,"SIGLER, WARDEN v. PARKER",FALSE,FALSE,6,1,FALSE,1
396_491,396,491,13,100;810;100;810;100;300;300;300;652;300;300;300;300,1969,1969-037,UNITED STATES v. INTERSTATE COMMERCE COMMISSION et al.,FALSE,FALSE,7,1,FALSE,1
396_531,396,531,12,311;300;300;400;300;203;120;120;120;100;100;300,1969,1969-038,"ROSS et al., TRUSTEES v. BERNHARD et al.",FALSE,FALSE,2,1,FALSE,1
397_1,397,1,14,300;920;300;221;325;300;300;920;100;100;100;920;300;300,1969,1969-039,UNITED STATES v. KORDEL et al.,FALSE,FALSE,7,1,FALSE,1
397_14,397,14,10,300;311;420;120;120;300;300;100;300;300,1969,1969-040,UNITED STATES v. REYNOLDS ET UX.,FALSE,FALSE,4,1,FALSE,1
397_25,397,25,16,300;900;900;300;400;300;300;400;300;300;460;100;800;800;100;300,1969,1969-041,CZOSEK et al. v. O'MARA et al.,FALSE,FALSE,6,1,FALSE,1
397_31,397,31,11,300;120;120;120;120;300;420;300;300;101;101,1969,1969-042,JONES v. STATE BOARD OF EDUCATION OF TENNESSEE et al.,FALSE,FALSE,4,1,FALSE,1
397_50,397,50,25,120;120;120;100;100;810;800;100;100;100;300;400;203;120;120;650;120;120;120;300;211;311;300;441;300,1969,1969-045,HADLEY et al. v. JUNIOR COLLEGE DISTRICT OF METROPOLITAN KANSAS CITY et al.,TRUE,FALSE,2,1,FALSE,1
397_72,397,72,20,120;814;311;311;120;420;120;120;120;120;311;100;100;100;300;300;311;311;300;300,1969,1969-046,COLONNADE CATERING CORP. v. UNITED STATES,FALSE,FALSE,2,1,FALSE,1
397_82,397,82,10,400;300;300;100;100;300;300;300;300;300,1969,1969-047,"REETZ, COMMISSIONER OF FISH AND GAME OF ALASKA, et al. v. BOZANICH et al.",FALSE,FALSE,8,1,FALSE,1
397_99,397,99,7,300;100;120;120;110;300;610,1969,1969-050,"H. K. PORTER CO., INC., DISSTON DIVISION-DANVILLE WORKS v. NATIONAL LABOR RELATIONS BOARD et al.",FALSE,FALSE,2,1,FALSE,1
397_112,397,112,14,311;100;100;300;300;700;311;420;300;300;120;120;120;300,1969,1969-051,TOUSSIE v. UNITED STATES,TRUE,FALSE,2,1,FALSE,1
397_137,397,137,9,300;300;620;300;300;100;100;300;300,1969,1969-052,"PIKE v. BRUCE CHURCH, INC.",FALSE,FALSE,8,1,FALSE,1
397_150,397,150,22,300;400;300;100;100;100;800;100;100;100;100;800;100;400;210;400;130;130;130;300;313;300,1969,1969-053,"ASSOCIATION OF DATA PROCESSING SERVICE ORGANIZATIONS, INC., et al. v. CAMP, COMPTROLLER OF THE CURRENCY, et al.",FALSE,FALSE,4,1,FALSE,1
397_159,397,159,16,620;300;400;400;100;100;300;100;810;800;100;621;204;100;300;300,1969,1969-054,"BARLOW et al. v. COLLINS, EXECUTIVE DIRECTOR, ALABAMA AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE, et al.",FALSE,FALSE,4,1,FALSE,1
397_179,397,179,8,300;300;100;100;300;300;300;300,1969,1969-055,"UNITED STATES v. W. M. WEBB, INC., et al.",FALSE,FALSE,8,1,FALSE,1
397_195,397,195,13,300;310;300;300;300;100;100;310;110;110;110;110;300,1969,1969-056,"INTERNATIONAL LONGSHOREMEN'S ASSOCIATION, LOCAL 1416, AFL-CIO v. ARIADNE SHIPPING CO., LTD., et al.",FALSE,FALSE,8,1,FALSE,1
397_203,397,203,12,302;311;300;300;100;100;100;203;120;120;120;300,1969,1969-057,"UNITED STATES v. SECKINGER, TRADING AS M. O. SECKINGER CO.",FALSE,FALSE,1,1,FALSE,1
397_223,397,223,22,400;110;802;110;110;814;160;400;412;101;810;101;101;101;420;104;320;400;300;400;300;300,1969,1969-058,"TAGGART et al. v. WEINACKER'S, INC.",FALSE,FALSE,4,1,FALSE,1
397_232,397,232,14,111;111;814;814;111;300;300;300;101;811;101;811;101;812,1969,1969-059,"NORTHCROSS et al. v. BOARD OF EDUCATION OF THE MEMPHIS, TENNESSEE, CITY SCHOOLS et al.",FALSE,FALSE,7,1,FALSE,1
397_238,397,238,18,120;110;900;101;900;300;440;300;900;231;311;120;120;120;120;120;110;110,1969,1969-060,"COLE, BOSTON STATE HOSPITAL SUPERINTENDENT, et al. v. RICHARDSON",FALSE,FALSE,6,1,FALSE,1
397_249,397,249,9,300;300;100;100;300;300;300;300;300,1969,1969-061,UNITED STATES v. VAN LEEUWEN,FALSE,FALSE,8,1,FALSE,1
397_254,397,254,15,120;120;300;300;320;400;410;510;100;100;800;100;100;800;300,1969,1969-062,"GOLDBERG, COMMISSIONER OF SOCIAL SERVICES OF THE CITY OF NEW YORK v. KELLY et al.",FALSE,FALSE,2,1,FALSE,1
397_280,397,280,17,203;502;120;120;814;120;203;311;311;300;400;222;100;100;120;300;300,1969,1969-063,"WHEELER et al. v. MONTGOMERY, DIRECTOR, DEPARTMENT OF SOCIAL WELFARE OF CALIFORNIA, et al.",TRUE,FALSE,2,1,FALSE,1
397_286,397,286,15,300;300;120;120;120;803;510;320;202;110;311;311;420;300;100,1969,1969-064,UNITED STATES v. ESTATE OF DONNELLY et al.,FALSE,FALSE,2,1,FALSE,1
397_301,397,301,11,311;300;120;120;120;300;311;300;300;100;100,1969,1969-065,UNITED STATES v. DAVIS ET UX.,FALSE,FALSE,2,1,FALSE,1
397_319,397,319,16,120;642;311;120;814;650;120;642;120;814;900;120;814;900;311;900,1969,1969-066,CAIN et al. v. KENTUCKY,FALSE,FALSE,4,1,FALSE,1
397_322,397,322,12,300;300;110;110;110;300;300;300;300;100;800;100,1969,1969-067,"UNITED STATES v. KEY, TRUSTEE IN BANKRUPTCY",FALSE,FALSE,8,1,FALSE,1
397_337,397,337,27,400;300;460;650;651;100;100;100;810;800;650;650;900;510;140;140;650;410;400;300;650;110;110;300;300;650;300,1969,1969-068,ILLINOIS v. ALLEN,TRUE,FALSE,8,1,FALSE,1
397_358,397,358,16,120;120;120;120;120;804;300;110;110;100;100;100;100;311;300;300,1969,1969-069,In re WINSHIP,FALSE,TRUE,2,1,FALSE,1
397_387,397,387,25,100;810;810;100;661;100;430;410;302;400;300;110;110;110;110;300;400;400;300;400;300;900;300;430;300,1969,1969-070,WALLER v. FLORIDA,FALSE,FALSE,8,1,FALSE,1
397_397,397,397,22,311;120;120;104;121;400;410;110;300;400;100;800;100;100;800;100;100;300;300;300;400;300,1969,1969-071,"ROSADO et al. v. WYMAN, COMMISSIONER OF SOCIAL SERVICES OF NEW YORK, et al.",TRUE,FALSE,4,1,FALSE,1
397_436,397,436,25,120;814;120;300;400;213;110;300;300;310;510;330;110;814;300;420;110;110;110;110;100;100;300;300;310,1969,1969-072,"ASHE v. SWENSON, WARDEN",FALSE,FALSE,6,1,FALSE,1
397_471,397,471,16,300;300;310;300;110;900;212;120;120;110;300;100;100;300;120;120,1969,1969-073,"DANDRIDGE, CHAIRMAN, MARYLAND BOARD OF PUBLIC WELFARE, et al. v. WILLIAMS et al.",TRUE,FALSE,2,1,FALSE,1
397_532,397,532,20,311;320;311;300;120;120;120;100;300;311;700;300;100;120;300;311;300;311;311;300,1969,1969-074,AMERICAN FARM LINES v. BLACK BALL FREIGHT SERVICE et al.,FALSE,FALSE,2,1,FALSE,1
397_552,397,552,20,120;120;810;620;100;100;800;100;310;300;702;300;300;320;502;110;110;300;710;300,1969,1969-075,"LEWIS et al. v. MARTIN, DIRECTOR, CALIFORNIA DEPARTMENT OF SOCIAL WELFARE, et al.",FALSE,FALSE,4,1,FALSE,1
397_564,397,564,14,300;300;620;300;300;400;100;810;100;100;100;300;300;300,1969,1969-076,BACHELLAR et al. v. MARYLAND,FALSE,FALSE,8,1,FALSE,1
397_572,397,572,8,300;300;300;300;300;300;300;100,1969,1969-077,WOODWARD et al. v. COMMISSIONER OF INTERNAL REVENUE,FALSE,FALSE,8,1,FALSE,1
397_580,397,580,5,300;300;300;300;100,1969,1969-078,UNITED STATES v. HILTON HOTELS CORP.,FALSE,FALSE,8,1,FALSE,1
397_586,397,586,13,120;650;205;120;120;120;120;120;311;311;101;810;311,1969,1969-079,"STANDARD INDUSTRIES, INC. v. TIGRETT INDUSTRIES, INC., et al.",FALSE,FALSE,0,1,FALSE,1
397_598,397,598,20,100;810;100;810;100;100;810;300;300;300;211;110;110;300;300;300;300;300;300;300,1969,1969-082,"TOOAHNIPPAH (GOOMBI), ADMINISTRATRIX, et al. v. HICKEL, SECRETARY OF THE INTERIOR, et al.",FALSE,FALSE,6,1,FALSE,1
397_620,397,620,26,900;600;311;900;203;160;300;213;120;120;120;120;120;300;110;300;300;300;120;120;120;100;810;800;100;100,1969,1969-083,CHOCTAW NATION et al. v. OKLAHOMA et al.,FALSE,FALSE,1,1,FALSE,1
397_655,397,655,6,300;300;300;101;300;300,1969,1969-084,"SEARS, ROEBUCK & CO. v. CARPET, LINOLEUM, SOFT TILE & RESILIENT FLOOR COVERING LAYERS, LOCAL UNION NO. 419, AFL-CIO, et al.",FALSE,FALSE,8,1,FALSE,1
397_660,397,660,8,621;300;300;160;300;900;460;101,1969,1969-085,HESTER v. ILLINOIS,FALSE,FALSE,2,1,FALSE,1
397_664,397,664,23,140;100;810;800;100;100;151;120;120;120;120;120;120;111;111;111;111;110;110;110;300;300;300,1969,1969-087,WALZ v. TAX COMMISSION OF THE CITY OF NEW YORK,TRUE,FALSE,6,1,FALSE,1
397_728,397,728,16,100;100;800;100;300;223;300;310;300;400;400;410;110;300;300;300,1969,1969-088,"ROWAN, DBA AMERICAN BOOK SERVICE, et al. v. UNITED STATES POST OFFICE DEPARTMENT et al.",FALSE,FALSE,8,1,FALSE,1
397_742,397,742,8,300;151;302;300;100;100;100;100,1969,1969-089,BRADY v. UNITED STATES,FALSE,FALSE,8,1,FALSE,1
397_759,397,759,14,300;151;311;300;213;120;120;120;300;100;100;100;660;311,1969,1969-090,"MCMANN, WARDEN, et al. v. RICHARDSON et al.",FALSE,FALSE,2,1,FALSE,1
397_790,397,790,10,300;120;111;300;100;100;100;100;810;100,1969,1969-091,PARKER v. NORTH CAROLINA,FALSE,FALSE,2,1,FALSE,1
398_1,398,1,9,300;120;100;100;300;300;300;300;300,1969,1969-093,NASH et al. v. UNITED STATES,FALSE,FALSE,4,1,FALSE,1
398_6,398,6,18,300;111;111;310;110;710;300;140;300;712;100;100;100;810;800;110;110;300,1969,1969-094,"GREENBELT COOPERATIVE PUBLISHING ASSN., INC., et al. v. BRESLER",FALSE,FALSE,8,1,FALSE,1
398_25,398,25,9,300;300;300;300;300;300;300;100;100,1969,1969-095,NATIONAL LABOR RELATIONS BOARD v. RAYTHEON CO. et al.,FALSE,FALSE,8,1,FALSE,1
398_30,398,30,21,100;810;100;810;800;810;420;100;800;650;300;300;110;110;110;110;300;310;300;300;310,1969,1969-096,DICKEY v. FLORIDA,FALSE,FALSE,8,1,FALSE,1
398_58,398,58,20,324;510;310;100;100;300;400;410;213;320;202;400;110;301;400;300;310;111;111;300,1969,1969-097,SCHACHT v. UNITED STATES,TRUE,FALSE,8,1,FALSE,1
398_71,398,71,12,300;322;160;311;101;810;300;300;300;120;814;120,1969,1969-098,MONKS v. NEW JERSEY,FALSE,FALSE,4,1,FALSE,1
398_73,398,73,7,160;642;810;101;810;101;300,1969,1969-099,"DANIEL, DIRECTOR, COOK COUNTY DEPARTMENT OF PUBLIC AID, et al. v. GOLIDAY et al.",FALSE,FALSE,2,1,FALSE,1
398_74,398,74,32,100;100;810;100;100;100;311;203;120;120;814;803;120;120;120;120;120;120;120;120;400;205;140;110;400;900;400;300;450;300;300;300,1969,1969-100,"CHANDLER, U.S. DISTRICT JUDGE v. JUDICIAL COUNCIL OF THE TENTH CIRCUIT",FALSE,FALSE,3,1,FALSE,1
398_144,398,144,24,300;111;111;121;121;121;121;121;121;121;121;121;121;121;100;100;100;100;100;100;130;300;300;300,1969,1969-101,ADICKES v. S. H. KRESS & CO.,FALSE,FALSE,3,1,FALSE,1
398_235,398,235,11,320;400;120;300;300;100;100;110;300;202;110,1969,1969-102,"BOYS MARKETS, INC. v. RETAIL CLERKS UNION, LOCAL 770",TRUE,FALSE,3,1,FALSE,1
398_262,398,262,12,120;660;660;641;300;300;101;101;660;101;300;641,1969,1969-104,"MAXWELL v. BISHOP, PENITENTIARY SUPERINTENDENT",TRUE,FALSE,5,1,FALSE,1
398_268,398,268,13,300;610;120;120;120;120;120;120;300;300;300;100;100,1969,1969-105,UNITED STATES v. ARMOUR & CO. et al.,FALSE,FALSE,4,1,FALSE,1
398_275,398,275,11,311;120;120;300;101;101;101;300;300;400;300,1969,1969-103,"WYMAN, COMMISSIONER OF SOCIAL SERVICES OF NEW YORK, et al. v. ROTHSTEIN et al.",FALSE,FALSE,3,1,FALSE,1
398_278,398,278,3,910;900;120,1969,1969-106,BLOSS et al. v. DYKEMA,FALSE,FALSE,1,1,FALSE,1
398_281,398,281,14,300;100;100;100;300;300;211;400;110;203;120;120;300;311,1969,1969-107,ATLANTIC COAST LINE RAILROAD CO. v. BROTHERHOOD OF LOCOMOTIVE ENGINEERS et al.,FALSE,FALSE,3,1,FALSE,1
398_306,398,306,13,311;300;100;100;100;203;120;120;120;300;311;300;300,1969,1969-108,HELLENIC LINES LTD. et al. v. RHODITIS,FALSE,FALSE,2,1,FALSE,1
398_319,398,319,11,300;660;151;120;120;160;300;101;101;101;300,1969,1969-109,MOON v. MARYLAND,FALSE,FALSE,3,1,FALSE,1
398_323,398,323,9,100;100;100;300;300;300;300;300;300,1969,1969-110,PRICE v. GEORGIA,FALSE,FALSE,8,1,FALSE,1
398_333,398,333,20,311;100;100;100;660;300;213;202;111;111;111;111;111;111;111;300;311;120;120;300,1969,1969-111,WELSH v. UNITED STATES,TRUE,FALSE,2,1,FALSE,1
398_375,398,375,17,300;300;103;100;800;100;810;800;100;300;430;303;320;400;303;300;300,1969,1969-112,"MORAGNE v. STATES MARINE LINES, INC., et al.",FALSE,FALSE,8,1,FALSE,1
398_410,398,410,10,300;300;300;300;400;300;100;100;300;300,1969,1969-113,MULLOY v. UNITED STATES,FALSE,FALSE,8,1,FALSE,1
398_419,398,419,11,300;300;300;300;400;300;300;300;100;100;100,1969,1969-114,EVANS et al. v. CORNMAN et al.,FALSE,FALSE,8,1,FALSE,1
398_427,398,427,14,620;300;110;202;400;120;120;300;300;101;810;101;300;300,1969,1969-115,"MITCHELL et al. v. DONOVAN, SECRETARY OF STATE OF MINNESOTA, et al.",FALSE,FALSE,6,1,FALSE,1
398_434,398,434,5,120;160;101;101;300,1969,1969-116,WALKER v. OHIO,FALSE,FALSE,3,1,FALSE,1
399_1,399,1,55,211;420;300;310;311;900;420;420;130;400;203;120;110;110;803;803;300;160;300;140;140;140;140;140;203;420;213;120;130;651;130;130;130;100;100;100;810;800;900;420;100;651;100;100;100;660;300;120;120;120;120;300;110;110;300,1969,1969-117,COLEMAN et al. v. ALABAMA,TRUE,FALSE,2,1,FALSE,1
399_30,399,30,14,621;325;311;203;120;120;620;300;300;100;100;100;300;300,1969,1969-118,VALE v. LOUISIANA,TRUE,FALSE,4,1,FALSE,1
399_42,399,42,13,300;300;660;213;510;130;130;300;110;100;100;100;660,1969,1969-119,"CHAMBERS v. MARONEY, CORRECTIONAL SUPERINTENDENT",TRUE,FALSE,6,1,FALSE,1
399_66,399,66,29,120;130;130;313;203;120;110;120;110;120;110;120;110;120;110;300;661;120;110;120;110;120;110;120;110;100;810;100;300,1969,1969-120,BALDWIN v. NEW YORK,TRUE,FALSE,2,1,FALSE,1
399_78,399,78,18,300;202;110;642;301;203;130;130;130;300;420;300;313;130;300;100;100;121,1969,1969-121,WILLIAMS v. FLORIDA,TRUE,TRUE,4,1,FALSE,1
399_149,399,149,12,110;300;300;600;110;110;120;300;100;601;100;660,1969,1969-123,CALIFORNIA v. GREEN,FALSE,FALSE,5,1,FALSE,1
399_204,399,204,12,502;311;621;311;301;300;120;120;100;100;100;300,1969,1969-124,CITY OF PHOENIX et al. v. KOLODZIEJSKI,FALSE,FALSE,2,1,FALSE,1
399_219,399,219,19,101;810;101;102;810;300;300;430;400;300;300;400;300;430;300;400;430;300;300,1969,1969-126,ARKANSAS v. TENNESSEE,FALSE,FALSE,9,1,TRUE,1
399_222,399,222,7,300;300;101;101;300;300;300,1969,1969-125,PERKINS v. STANDARD OIL CO. OF CALIFORNIA,FALSE,FALSE,8,1,FALSE,1
399_224,399,224,28,100;810;100;810;100;810;800;810;800;100;800;300;120;120;120;313;420;110;110;650;130;130;400;300;640;300;300;310,1969,1969-127,"NELSON, WARDEN v. GEORGE",FALSE,FALSE,8,1,FALSE,1
399_235,399,235,9,100;100;800;300;111;111;300;300;300,1969,1969-128,WILLIAMS v. ILLINOIS,FALSE,FALSE,8,1,FALSE,1
399_267,399,267,47,203;621;104;120;311;120;900;620;151;650;303;900;323;322;120;120;311;311;660;104;103;813;100;100;100;650;660;660;100;100;303;900;300;660;300;660;303;621;104;120;311;120;120;660;303;300;660,1969,1969-129,UNITED STATES v. SISSON,TRUE,FALSE,2,1,FALSE,1
399_350,399,350,12,203;313;300;300;130;130;100;100;100;610;300;300,1969,1969-130,UNITED STATES v. PHILLIPSBURG NATIONAL BANK & TRUST CO. et al.,FALSE,FALSE,3,1,FALSE,1
399_383,399,383,10,300;300;300;100;100;100;100;110;110;300,1969,1969-131,"GUNN, SHERIFF, et al. v. UNIVERSITY COMMITTEE TO END THE WAR IN VIETNAM et al.",FALSE,FALSE,8,1,FALSE,1
399_392,399,392,22,640;300;203;120;120;120;610;311;420;441;300;100;800;810;100;650;800;810;100;810;300;441,1969,1969-132,"NEW YORK, NEW HAVEN & HARTFORD RAILROAD CO. FIRST MORTGAGE 4% BONDHOLDERS COMMITTEE v. UNITED STATES et al.",FALSE,FALSE,2,1,FALSE,1
399_508,399,508,9,101;810;920;300;920;110;110;110;310,1969,1969-135,"MORRIS et al. v. SCHOONFIELD, WARDEN, et al.",FALSE,FALSE,8,1,FALSE,1
399_510,399,510,11,300;300;300;120;120;101;101;300;300;300;311,1969,1969-133,SIMMONS et ux. v. WEST HAVEN HOUSING AUTHORITY,FALSE,FALSE,4,1,FALSE,1
399_517,399,517,4,160;101;810;300,1969,1969-134,UNITED STATES v. SWEET,FALSE,FALSE,6,1,FALSE,1
399_524,399,524,3,311;311;120,1969,1969-140,HOYT et al. v. MINNESOTA,FALSE,FALSE,3,1,FALSE,1
400_4,400,4,13,300;300;160;160;300;300;100;810;920;100;100;300;300,1970,1970-001,UNITED STATES v. MARYLAND SAVINGS-SHARE INSURANCE CORP.,FALSE,FALSE,7,1,FALSE,1
400_8,400,8,17,300;160;311;711;101;101;101;101;101;101;120;120;120;300;300;300;300,1970,1970-002,UNITED STATES et al. v. CITY OF CHICAGO et al.,FALSE,FALSE,5,1,FALSE,1
400_17,400,17,12,300;910;120;300;300;300;101;101;300;300;300;430,1970,1970-004,THOMPSON v. UNITED STATES,FALSE,FALSE,5,1,FALSE,1
400_18,400,18,10,900;300;120;120;300;101;101;300;300;300,1970,1970-006,LINES v. FREDERICK et al.,FALSE,FALSE,5,1,FALSE,1
400_23,400,23,6,300;300;300;300;300;300,1970,1970-005,ODOM v. UNITED STATES,FALSE,FALSE,7,1,FALSE,1
400_25,400,25,33,300;600;120;120;120;311;300;213;120;111;120;111;120;110;120;111;100;100;100;311;310;300;151;311;300;120;120;120;300;100;100;311;300,1970,1970-007,NORTH CAROLINA v. ALFORD,FALSE,FALSE,3,1,FALSE,1
400_41,400,41,20,300;120;120;120;120;120;120;311;300;300;300;400;641;642;642;660;440;440;440;440,1970,1970-008,FORNARIS v. RIDGE TOOL CO. et al.,FALSE,FALSE,9,1,TRUE,1
400_48,400,48,11,311;320;300;810;104;104;104;100;300;160;300,1970,1970-010,"HICKEL, SECRETARY OF THE INTERIOR v. OIL SHALE CORP. et al.",FALSE,FALSE,2,1,FALSE,1
400_62,400,62,13,300;300;300;300;300;300;400;300;100;100;100;100;300,1970,1970-011,PORT OF BOSTON MARINE TERMINAL ASSN. et al. v. REDERIAKTIEBOLAGET TRANSATLANTIC,FALSE,FALSE,9,1,TRUE,1
400_73,400,73,2,900;610,1970,1970-012,ATLANTIC CITY ELECTRIC CO. et al. v. UNITED STATES et al.,FALSE,FALSE,0,1,FALSE,1
400_74,400,74,44,300;400;300;300;151;205;321;113;311;420;100;800;100;100;100;300;203;120;120;120;310;320;400;202;111;111;111;111;111;100;100;100;660;300;120;120;120;120;110;110;110;814;110;110,1970,1970-013,"DUTTON, WARDEN v. EVANS",TRUE,FALSE,1,1,FALSE,1
400_112,400,112,37,641;460;322;641;140;140;100;810;100;140;140;140;140;140;140;140;140;203;140;430;651;130;130;140;130;651;130;804;140;130;130;400;651;920;313;313;322,1970,1970-014,"OREGON v. MITCHELL, ATTORNEY GENERAL",TRUE,TRUE,1,1,FALSE,1
